Plan Name,Slug,Cost USD,Retail USD,Retail USD,Direct Link,Shop Link
"Belgium 3GB 15Days",BE_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/BE_3_15","https://asim.esimqr.link/?slug=BE_3_15"
"Belgium 3GB 30Days",BE_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/BE_3_30","https://asim.esimqr.link/?slug=BE_3_30"
"Belgium 5GB 30Days",BE_5_30,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/BE_5_30","https://asim.esimqr.link/?slug=BE_5_30"
"Belgium 10GB 30Days",BE_10_30,6.10,8.36,8.36,"https://asim.esimqr.link/pay/usd/BE_10_30","https://asim.esimqr.link/?slug=BE_10_30"
"Belgium 20GB 30Days",BE_20_30,10.60,13.65,13.65,"https://asim.esimqr.link/pay/usd/BE_20_30","https://asim.esimqr.link/?slug=BE_20_30"
"Belgium 50GB 180Days",BE_50_180,22.00,27.06,27.06,"https://asim.esimqr.link/pay/usd/BE_50_180","https://asim.esimqr.link/?slug=BE_50_180"
"Bolivia 100MB 7Days",BO_0.1_7,0.63,1.92,1.92,"https://asim.esimqr.link/pay/usd/BO_0.1_7","https://asim.esimqr.link/?slug=BO_0.1_7"
"Bolivia 500MB 7Days",BO_0.5_7,3.10,4.83,4.83,"https://asim.esimqr.link/pay/usd/BO_0.5_7","https://asim.esimqr.link/?slug=BO_0.5_7"
"Bolivia 1GB 7Days",BO_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/BO_1_7","https://asim.esimqr.link/?slug=BO_1_7"
"Bolivia 3GB 15Days",BO_3_15,16.80,20.95,20.95,"https://asim.esimqr.link/pay/usd/BO_3_15","https://asim.esimqr.link/?slug=BO_3_15"
"Bolivia 20GB 30Days",BO_20_30,99.00,117.65,117.65,"https://asim.esimqr.link/pay/usd/BO_20_30","https://asim.esimqr.link/?slug=BO_20_30"
"Bosnia and Herzegovina 500MB/Day",BA_0.5_Daily,1.00,2.36,2.36,"https://asim.esimqr.link/pay/usd/BA_0.5_Daily","https://asim.esimqr.link/?slug=BA_0.5_Daily"
"Bosnia and Herzegovina 1GB 7Days",BA_1_7,1.69,3.17,3.17,"https://asim.esimqr.link/pay/usd/BA_1_7","https://asim.esimqr.link/?slug=BA_1_7"
"Bosnia and Herzegovina 1GB/Day",BA_1_Daily,1.69,3.17,3.17,"https://asim.esimqr.link/pay/usd/BA_1_Daily","https://asim.esimqr.link/?slug=BA_1_Daily"
"Bosnia and Herzegovina 3GB 15Days",BA_3_15,5.07,7.15,7.15,"https://asim.esimqr.link/pay/usd/BA_3_15","https://asim.esimqr.link/?slug=BA_3_15"
"Bosnia and Herzegovina 3GB 30Days",BA_3_30,5.10,7.18,7.18,"https://asim.esimqr.link/pay/usd/BA_3_30","https://asim.esimqr.link/?slug=BA_3_30"
"Bosnia and Herzegovina 5GB 30Days",BA_5_30,8.00,10.59,10.59,"https://asim.esimqr.link/pay/usd/BA_5_30","https://asim.esimqr.link/?slug=BA_5_30"
"Bosnia and Herzegovina 10GB 30Days",BA_10_30,16.00,20.00,20.00,"https://asim.esimqr.link/pay/usd/BA_10_30","https://asim.esimqr.link/?slug=BA_10_30"
"Botswana 1GB 7Days",BW_1_7,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/BW_1_7","https://asim.esimqr.link/?slug=BW_1_7"
"Botswana 3GB 15Days",BW_3_15,17.60,21.89,21.89,"https://asim.esimqr.link/pay/usd/BW_3_15","https://asim.esimqr.link/?slug=BW_3_15"
"Brazil 100MB 7Days",BR_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/BR_0.1_7","https://asim.esimqr.link/?slug=BR_0.1_7"
"Brazil 500MB/Day",BR_0.5_Daily,1.10,2.48,2.48,"https://asim.esimqr.link/pay/usd/BR_0.5_Daily","https://asim.esimqr.link/?slug=BR_0.5_Daily"
"Brazil 500MB 7Days",BR_0.5_7,1.30,2.71,2.71,"https://asim.esimqr.link/pay/usd/BR_0.5_7","https://asim.esimqr.link/?slug=BR_0.5_7"
"Brazil 1GB/Day",BR_1_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/BR_1_Daily","https://asim.esimqr.link/?slug=BR_1_Daily"
"Brazil 1GB 7Days",BR_1_7,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/BR_1_7","https://asim.esimqr.link/?slug=BR_1_7"
"Brazil 2GB/Day",BR_2_Daily,4.00,5.89,5.89,"https://asim.esimqr.link/pay/usd/BR_2_Daily","https://asim.esimqr.link/?slug=BR_2_Daily"
"Brazil 3GB 15Days",BR_3_15,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/BR_3_15","https://asim.esimqr.link/?slug=BR_3_15"
"Brazil 3GB 30Days",BR_3_30,5.80,8.00,8.00,"https://asim.esimqr.link/pay/usd/BR_3_30","https://asim.esimqr.link/?slug=BR_3_30"
"Brazil 5GB/Day",BR_5_Daily,8.70,11.42,11.42,"https://asim.esimqr.link/pay/usd/BR_5_Daily","https://asim.esimqr.link/?slug=BR_5_Daily"
"Brazil 5GB 30Days",BR_5_30,9.00,11.77,11.77,"https://asim.esimqr.link/pay/usd/BR_5_30","https://asim.esimqr.link/?slug=BR_5_30"
"Brazil 10GB 30Days",BR_10_30,17.00,21.18,21.18,"https://asim.esimqr.link/pay/usd/BR_10_30","https://asim.esimqr.link/?slug=BR_10_30"
"Brazil 20GB 30Days",BR_20_30,25.00,30.59,30.59,"https://asim.esimqr.link/pay/usd/BR_20_30","https://asim.esimqr.link/?slug=BR_20_30"
"Brunei Darussalam 500MB/Day",BN_0.5_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/BN_0.5_Daily","https://asim.esimqr.link/?slug=BN_0.5_Daily"
"Brunei Darussalam 1GB/Day",BN_1_Daily,4.50,6.48,6.48,"https://asim.esimqr.link/pay/usd/BN_1_Daily","https://asim.esimqr.link/?slug=BN_1_Daily"
"Brunei Darussalam 1GB 7Days",BN_1_7,4.60,6.59,6.59,"https://asim.esimqr.link/pay/usd/BN_1_7","https://asim.esimqr.link/?slug=BN_1_7"
"Brunei Darussalam 3GB 15Days",BN_3_15,11.20,14.36,14.36,"https://asim.esimqr.link/pay/usd/BN_3_15","https://asim.esimqr.link/?slug=BN_3_15"
"Brunei Darussalam 3GB 30Days",BN_3_30,11.40,14.59,14.59,"https://asim.esimqr.link/pay/usd/BN_3_30","https://asim.esimqr.link/?slug=BN_3_30"
"Brunei Darussalam 20GB 30Days",BN_20_30,50.00,60.00,60.00,"https://asim.esimqr.link/pay/usd/BN_20_30","https://asim.esimqr.link/?slug=BN_20_30"
"Bulgaria 500MB/Day",BG_0.5_Daily,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/BG_0.5_Daily","https://asim.esimqr.link/?slug=BG_0.5_Daily"
"Bulgaria 1GB/Day",BG_1_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/BG_1_Daily","https://asim.esimqr.link/?slug=BG_1_Daily"
"Bulgaria 1GB 7Days",BG_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/BG_1_7","https://asim.esimqr.link/?slug=BG_1_7"
"Bulgaria 2GB/Day",BG_2_Daily,1.40,2.83,2.83,"https://asim.esimqr.link/pay/usd/BG_2_Daily","https://asim.esimqr.link/?slug=BG_2_Daily"
"Bulgaria 3GB 15Days",BG_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/BG_3_15","https://asim.esimqr.link/?slug=BG_3_15"
"Bulgaria 3GB 30Days",BG_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/BG_3_30","https://asim.esimqr.link/?slug=BG_3_30"
"Bulgaria 5GB 30Days",BG_5_30,3.20,4.95,4.95,"https://asim.esimqr.link/pay/usd/BG_5_30","https://asim.esimqr.link/?slug=BG_5_30"
"Bulgaria 10GB 30Days",BG_10_30,6.10,8.36,8.36,"https://asim.esimqr.link/pay/usd/BG_10_30","https://asim.esimqr.link/?slug=BG_10_30"
"Bulgaria 20GB 30Days",BG_20_30,11.90,15.18,15.18,"https://asim.esimqr.link/pay/usd/BG_20_30","https://asim.esimqr.link/?slug=BG_20_30"
"Bulgaria 50GB 180Days",BG_50_180,30.00,36.48,36.48,"https://asim.esimqr.link/pay/usd/BG_50_180","https://asim.esimqr.link/?slug=BG_50_180"
"Bulgaria 50GB 30Days",BG_50_30,36.00,43.53,43.53,"https://asim.esimqr.link/pay/usd/BG_50_30","https://asim.esimqr.link/?slug=BG_50_30"
"Burkina Faso 1GB 7Days",BF_1_7,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/BF_1_7","https://asim.esimqr.link/?slug=BF_1_7"
"Burkina Faso 3GB 15Days",BF_3_15,17.60,21.89,21.89,"https://asim.esimqr.link/pay/usd/BF_3_15","https://asim.esimqr.link/?slug=BF_3_15"
"Burkina Faso 5GB 30Days",BF_5_30,26.00,31.77,31.77,"https://asim.esimqr.link/pay/usd/BF_5_30","https://asim.esimqr.link/?slug=BF_5_30"
"Cambodia 100MB 7Days",KH_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/KH_0.1_7","https://asim.esimqr.link/?slug=KH_0.1_7"
"Cambodia 500MB/Day",KH_0.5_Daily,1.30,2.71,2.71,"https://asim.esimqr.link/pay/usd/KH_0.5_Daily","https://asim.esimqr.link/?slug=KH_0.5_Daily"
"Cambodia 500MB 7Days",KH_0.5_7,1.30,2.71,2.71,"https://asim.esimqr.link/pay/usd/KH_0.5_7","https://asim.esimqr.link/?slug=KH_0.5_7"
"Cambodia 1GB/Day",KH_1_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/KH_1_Daily","https://asim.esimqr.link/?slug=KH_1_Daily"
"Cambodia 1GB 7Days",KH_1_7,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/KH_1_7","https://asim.esimqr.link/?slug=KH_1_7"
"Cambodia 2GB/Day",KH_2_Daily,4.00,5.89,5.89,"https://asim.esimqr.link/pay/usd/KH_2_Daily","https://asim.esimqr.link/?slug=KH_2_Daily"
"Cambodia 3GB 15Days",KH_3_15,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/KH_3_15","https://asim.esimqr.link/?slug=KH_3_15"
"Cambodia 3GB 30Days",KH_3_30,5.80,8.00,8.00,"https://asim.esimqr.link/pay/usd/KH_3_30","https://asim.esimqr.link/?slug=KH_3_30"
"Cambodia 5GB 30Days",KH_5_30,7.50,10.00,10.00,"https://asim.esimqr.link/pay/usd/KH_5_30","https://asim.esimqr.link/?slug=KH_5_30"
"Cambodia 10GB 30Days",KH_10_30,15.20,19.06,19.06,"https://asim.esimqr.link/pay/usd/KH_10_30","https://asim.esimqr.link/?slug=KH_10_30"
"Cambodia 20GB 30Days",KH_20_30,25.00,30.59,30.59,"https://asim.esimqr.link/pay/usd/KH_20_30","https://asim.esimqr.link/?slug=KH_20_30"
"Cameroon 1GB 7Days",CM_1_7,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/CM_1_7","https://asim.esimqr.link/?slug=CM_1_7"
"Cameroon 3GB 15Days",CM_3_15,17.60,21.89,21.89,"https://asim.esimqr.link/pay/usd/CM_3_15","https://asim.esimqr.link/?slug=CM_3_15"
"Canada 100MB 7Days",CA_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/CA_0.1_7","https://asim.esimqr.link/?slug=CA_0.1_7"
"Canada 500MB 7Days",CA_0.5_7,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/CA_0.5_7","https://asim.esimqr.link/?slug=CA_0.5_7"
"Canada 500MB/Day",CA_0.5_Daily,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/CA_0.5_Daily","https://asim.esimqr.link/?slug=CA_0.5_Daily"
"Canada 1GB 7Days",CA_1_7,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/CA_1_7","https://asim.esimqr.link/?slug=CA_1_7"
"Canada 1GB/Day",CA_1_Daily,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/CA_1_Daily","https://asim.esimqr.link/?slug=CA_1_Daily"
"Canada 1.5GB/Day",CA_1.5_Daily,2.70,4.36,4.36,"https://asim.esimqr.link/pay/usd/CA_1.5_Daily","https://asim.esimqr.link/?slug=CA_1.5_Daily"
"Canada 2GB/Day",CA_2_Daily,3.60,5.42,5.42,"https://asim.esimqr.link/pay/usd/CA_2_Daily","https://asim.esimqr.link/?slug=CA_2_Daily"
"Canada 3GB 15Days",CA_3_15,3.70,5.53,5.53,"https://asim.esimqr.link/pay/usd/CA_3_15","https://asim.esimqr.link/?slug=CA_3_15"
"Canada 3GB 30Days",CA_3_30,3.80,5.65,5.65,"https://asim.esimqr.link/pay/usd/CA_3_30","https://asim.esimqr.link/?slug=CA_3_30"
"Canada 3GB/Day",CA_3_Daily,5.40,7.53,7.53,"https://asim.esimqr.link/pay/usd/CA_3_Daily","https://asim.esimqr.link/?slug=CA_3_Daily"
"Canada 5GB 30Days",CA_5_30,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/CA_5_30","https://asim.esimqr.link/?slug=CA_5_30"
"Canada 10GB 30Days",CA_10_30,9.90,12.83,12.83,"https://asim.esimqr.link/pay/usd/CA_10_30","https://asim.esimqr.link/?slug=CA_10_30"
"Canada 20GB 30Days",CA_20_30,16.80,20.95,20.95,"https://asim.esimqr.link/pay/usd/CA_20_30","https://asim.esimqr.link/?slug=CA_20_30"
"Central African Republic 1GB 7Days",CF_1_7,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/CF_1_7","https://asim.esimqr.link/?slug=CF_1_7"
"Central African Republic 3GB 15Days",CF_3_15,17.60,21.89,21.89,"https://asim.esimqr.link/pay/usd/CF_3_15","https://asim.esimqr.link/?slug=CF_3_15"
"Central African Republic 5GB 30Days",CF_5_30,26.00,31.77,31.77,"https://asim.esimqr.link/pay/usd/CF_5_30","https://asim.esimqr.link/?slug=CF_5_30"
"Chad 1GB 7Days",TD_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/TD_1_7","https://asim.esimqr.link/?slug=TD_1_7"
"Chad 3GB 15Days",TD_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/TD_3_15","https://asim.esimqr.link/?slug=TD_3_15"
"Chad 3GB 30Days",TD_3_30,14.40,18.12,18.12,"https://asim.esimqr.link/pay/usd/TD_3_30","https://asim.esimqr.link/?slug=TD_3_30"
"Chad 5GB 30Days",TD_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/TD_5_30","https://asim.esimqr.link/?slug=TD_5_30"
"Chile 100MB 7Days",CL_0.1_7,0.57,1.85,1.85,"https://asim.esimqr.link/pay/usd/CL_0.1_7","https://asim.esimqr.link/?slug=CL_0.1_7"
"Chile 500MB/Day",CL_0.5_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/CL_0.5_Daily","https://asim.esimqr.link/?slug=CL_0.5_Daily"
"Chile 500MB 7Days",CL_0.5_7,3.10,4.83,4.83,"https://asim.esimqr.link/pay/usd/CL_0.5_7","https://asim.esimqr.link/?slug=CL_0.5_7"
"Chile 1GB/Day",CL_1_Daily,5.60,7.77,7.77,"https://asim.esimqr.link/pay/usd/CL_1_Daily","https://asim.esimqr.link/?slug=CL_1_Daily"
"Chile 1GB 7Days",CL_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/CL_1_7","https://asim.esimqr.link/?slug=CL_1_7"
"Chile 2GB/Day",CL_2_Daily,11.00,14.12,14.12,"https://asim.esimqr.link/pay/usd/CL_2_Daily","https://asim.esimqr.link/?slug=CL_2_Daily"
"Chile 3GB 15Days",CL_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/CL_3_15","https://asim.esimqr.link/?slug=CL_3_15"
"Chile 3GB 30Days",CL_3_30,14.40,18.12,18.12,"https://asim.esimqr.link/pay/usd/CL_3_30","https://asim.esimqr.link/?slug=CL_3_30"
"Chile 5GB 30Days",CL_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/CL_5_30","https://asim.esimqr.link/?slug=CL_5_30"
"Chile 10GB 30Days",CL_10_30,37.00,44.71,44.71,"https://asim.esimqr.link/pay/usd/CL_10_30","https://asim.esimqr.link/?slug=CL_10_30"
"Chile 20GB 30Days",CL_20_30,63.00,75.30,75.30,"https://asim.esimqr.link/pay/usd/CL_20_30","https://asim.esimqr.link/?slug=CL_20_30"
"China 100MB 7Days",CN_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/CN_0.1_7","https://asim.esimqr.link/?slug=CN_0.1_7"
"China 500MB 7Days",CN_0.5_7,0.40,1.65,1.65,"https://asim.esimqr.link/pay/usd/CN_0.5_7","https://asim.esimqr.link/?slug=CN_0.5_7"
"China 500MB/Day",CN_0.5_Daily_nonhkip,0.52,1.79,1.79,"https://asim.esimqr.link/pay/usd/CN_0.5_Daily_nonhkip","https://asim.esimqr.link/?slug=CN_0.5_Daily_nonhkip"
"China 1GB/Day",CN_1_Daily_nonhkip,0.96,2.31,2.31,"https://asim.esimqr.link/pay/usd/CN_1_Daily_nonhkip","https://asim.esimqr.link/?slug=CN_1_Daily_nonhkip"
"China 1GB 7Days",CN_1_7_nonhkip,1.01,2.37,2.37,"https://asim.esimqr.link/pay/usd/CN_1_7_nonhkip","https://asim.esimqr.link/?slug=CN_1_7_nonhkip"
"China 2GB/Day",CN_2_Daily_nonhkip,1.76,3.25,3.25,"https://asim.esimqr.link/pay/usd/CN_2_Daily_nonhkip","https://asim.esimqr.link/?slug=CN_2_Daily_nonhkip"
"China 3GB 15Days",CN_3_15_nonhkip,2.42,4.03,4.03,"https://asim.esimqr.link/pay/usd/CN_3_15_nonhkip","https://asim.esimqr.link/?slug=CN_3_15_nonhkip"
"China 3GB 30Days",CN_3_30,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/CN_3_30","https://asim.esimqr.link/?slug=CN_3_30"
"China 3GB/Day",CN_3_Daily_nonhkip,2.38,3.98,3.98,"https://asim.esimqr.link/pay/usd/CN_3_Daily_nonhkip","https://asim.esimqr.link/?slug=CN_3_Daily_nonhkip"
"China 5GB/Day",CN_5_Daily_nonhkip,3.52,5.32,5.32,"https://asim.esimqr.link/pay/usd/CN_5_Daily_nonhkip","https://asim.esimqr.link/?slug=CN_5_Daily_nonhkip"
"China 5GB 30Days",CN_5_30_nonhkip,3.52,5.32,5.32,"https://asim.esimqr.link/pay/usd/CN_5_30_nonhkip","https://asim.esimqr.link/?slug=CN_5_30_nonhkip"
"China 10GB 30Days",CN_10_30_nonhkip,6.78,9.16,9.16,"https://asim.esimqr.link/pay/usd/CN_10_30_nonhkip","https://asim.esimqr.link/?slug=CN_10_30_nonhkip"
"China 10GB/Day",CN_10_Daily_nonhkip,4.84,6.88,6.88,"https://asim.esimqr.link/pay/usd/CN_10_Daily_nonhkip","https://asim.esimqr.link/?slug=CN_10_Daily_nonhkip"
"China 20GB 30Days",CN_20_30_nonhkip,13.81,17.43,17.43,"https://asim.esimqr.link/pay/usd/CN_20_30_nonhkip","https://asim.esimqr.link/?slug=CN_20_30_nonhkip"
"China 50GB 30Days",CN_50_30_nonhkip,28.60,34.83,34.83,"https://asim.esimqr.link/pay/usd/CN_50_30_nonhkip","https://asim.esimqr.link/?slug=CN_50_30_nonhkip"
"China 50GB 180Days",CN_50_180,28.00,34.12,34.12,"https://asim.esimqr.link/pay/usd/CN_50_180","https://asim.esimqr.link/?slug=CN_50_180"
"Colombia 100MB 7Days",CO_0.1_7,0.56,1.84,1.84,"https://asim.esimqr.link/pay/usd/CO_0.1_7","https://asim.esimqr.link/?slug=CO_0.1_7"
"Colombia 500MB/Day",CO_0.5_Daily,1.38,2.80,2.80,"https://asim.esimqr.link/pay/usd/CO_0.5_Daily","https://asim.esimqr.link/?slug=CO_0.5_Daily"
"Colombia 500MB 7Days",CO_0.5_7,1.58,3.04,3.04,"https://asim.esimqr.link/pay/usd/CO_0.5_7","https://asim.esimqr.link/?slug=CO_0.5_7"
"Colombia 1GB 7Days",CO_1_7,2.65,4.30,4.30,"https://asim.esimqr.link/pay/usd/CO_1_7","https://asim.esimqr.link/?slug=CO_1_7"
"Colombia 1GB/Day",CO_1_Daily,2.65,4.30,4.30,"https://asim.esimqr.link/pay/usd/CO_1_Daily","https://asim.esimqr.link/?slug=CO_1_Daily"
"Colombia 2GB/Day",CO_2_Daily,4.75,6.77,6.77,"https://asim.esimqr.link/pay/usd/CO_2_Daily","https://asim.esimqr.link/?slug=CO_2_Daily"
"Colombia 3GB 15Days",CO_3_15,6.90,9.30,9.30,"https://asim.esimqr.link/pay/usd/CO_3_15","https://asim.esimqr.link/?slug=CO_3_15"
"Colombia 3GB 30Days",CO_3_30,7.00,9.42,9.42,"https://asim.esimqr.link/pay/usd/CO_3_30","https://asim.esimqr.link/?slug=CO_3_30"
"Colombia 5GB 30Days",CO_5_30,11.20,14.36,14.36,"https://asim.esimqr.link/pay/usd/CO_5_30","https://asim.esimqr.link/?slug=CO_5_30"
"Colombia 10GB 30Days",CO_10_30,19.50,24.12,24.12,"https://asim.esimqr.link/pay/usd/CO_10_30","https://asim.esimqr.link/?slug=CO_10_30"
"Colombia 20GB 30Days",CO_20_30,37.00,44.71,44.71,"https://asim.esimqr.link/pay/usd/CO_20_30","https://asim.esimqr.link/?slug=CO_20_30"
"Costa Rica 500MB/Day",CR_0.5_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/CR_0.5_Daily","https://asim.esimqr.link/?slug=CR_0.5_Daily"
"Costa Rica 1GB/Day",CR_1_Daily,4.50,6.48,6.48,"https://asim.esimqr.link/pay/usd/CR_1_Daily","https://asim.esimqr.link/?slug=CR_1_Daily"
"Costa Rica 1GB 7Days",CR_1_7,4.60,6.59,6.59,"https://asim.esimqr.link/pay/usd/CR_1_7","https://asim.esimqr.link/?slug=CR_1_7"
"Costa Rica 2GB/Day",CR_2_Daily,8.00,10.59,10.59,"https://asim.esimqr.link/pay/usd/CR_2_Daily","https://asim.esimqr.link/?slug=CR_2_Daily"
"Costa Rica 3GB 15Days",CR_3_15,11.20,14.36,14.36,"https://asim.esimqr.link/pay/usd/CR_3_15","https://asim.esimqr.link/?slug=CR_3_15"
"Costa Rica 3GB 30Days",CR_3_30,11.40,14.59,14.59,"https://asim.esimqr.link/pay/usd/CR_3_30","https://asim.esimqr.link/?slug=CR_3_30"
"Costa Rica 5GB 30Days",CR_5_30,17.10,21.30,21.30,"https://asim.esimqr.link/pay/usd/CR_5_30","https://asim.esimqr.link/?slug=CR_5_30"
"Costa Rica 10GB 30Days",CR_10_30,29.00,35.30,35.30,"https://asim.esimqr.link/pay/usd/CR_10_30","https://asim.esimqr.link/?slug=CR_10_30"
"Costa Rica 20GB 30Days",CR_20_30,50.00,60.00,60.00,"https://asim.esimqr.link/pay/usd/CR_20_30","https://asim.esimqr.link/?slug=CR_20_30"
"Cote d'Ivoire 1GB 7Days",CI_1_7,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/CI_1_7","https://asim.esimqr.link/?slug=CI_1_7"
"Cote d'Ivoire 3GB 15Days",CI_3_15,17.60,21.89,21.89,"https://asim.esimqr.link/pay/usd/CI_3_15","https://asim.esimqr.link/?slug=CI_3_15"
"Cote d'Ivoire 5GB 30Days",CI_5_30,26.00,31.77,31.77,"https://asim.esimqr.link/pay/usd/CI_5_30","https://asim.esimqr.link/?slug=CI_5_30"
"Croatia 500MB/Day",HR_0.5_Daily,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/HR_0.5_Daily","https://asim.esimqr.link/?slug=HR_0.5_Daily"
"Croatia 1GB/Day",HR_1_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/HR_1_Daily","https://asim.esimqr.link/?slug=HR_1_Daily"
"Croatia 1GB 7Days",HR_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/HR_1_7","https://asim.esimqr.link/?slug=HR_1_7"
"Croatia 2GB/Day",HR_2_Daily,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/HR_2_Daily","https://asim.esimqr.link/?slug=HR_2_Daily"
"Croatia 3GB 15Days",HR_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/HR_3_15","https://asim.esimqr.link/?slug=HR_3_15"
"Croatia 3GB 30Days",HR_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/HR_3_30","https://asim.esimqr.link/?slug=HR_3_30"
"Croatia 5GB 30Days",HR_5_30,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/HR_5_30","https://asim.esimqr.link/?slug=HR_5_30"
"Croatia 10GB 30Days",HR_10_30,6.10,8.36,8.36,"https://asim.esimqr.link/pay/usd/HR_10_30","https://asim.esimqr.link/?slug=HR_10_30"
"Croatia 20GB 30Days",HR_20_30,9.60,12.48,12.48,"https://asim.esimqr.link/pay/usd/HR_20_30","https://asim.esimqr.link/?slug=HR_20_30"
"Croatia 50GB 180Days",HR_50_180,28.00,34.12,34.12,"https://asim.esimqr.link/pay/usd/HR_50_180","https://asim.esimqr.link/?slug=HR_50_180"
"Cyprus 500MB/Day",CY_0.5_Daily,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/CY_0.5_Daily","https://asim.esimqr.link/?slug=CY_0.5_Daily"
"Cyprus 1GB/Day",CY_1_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/CY_1_Daily","https://asim.esimqr.link/?slug=CY_1_Daily"
"Cyprus 1GB 7Days",CY_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/CY_1_7","https://asim.esimqr.link/?slug=CY_1_7"
"Cyprus 2GB/Day",CY_2_Daily,1.40,2.83,2.83,"https://asim.esimqr.link/pay/usd/CY_2_Daily","https://asim.esimqr.link/?slug=CY_2_Daily"
"Cyprus 3GB 15Days",CY_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/CY_3_15","https://asim.esimqr.link/?slug=CY_3_15"
"Cyprus 3GB 30Days",CY_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/CY_3_30","https://asim.esimqr.link/?slug=CY_3_30"
"Cyprus 5GB 30Days",CY_5_30,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/CY_5_30","https://asim.esimqr.link/?slug=CY_5_30"
"Cyprus 10GB 30Days",CY_10_30,6.10,8.36,8.36,"https://asim.esimqr.link/pay/usd/CY_10_30","https://asim.esimqr.link/?slug=CY_10_30"
"Cyprus 20GB 30Days",CY_20_30,11.80,15.06,15.06,"https://asim.esimqr.link/pay/usd/CY_20_30","https://asim.esimqr.link/?slug=CY_20_30"
"Cyprus 50GB 180Days",CY_50_180,30.00,36.48,36.48,"https://asim.esimqr.link/pay/usd/CY_50_180","https://asim.esimqr.link/?slug=CY_50_180"
"Czech Republic 500MB/Day",CZ_0.5_Daily,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/CZ_0.5_Daily","https://asim.esimqr.link/?slug=CZ_0.5_Daily"
"Czech Republic 1GB/Day",CZ_1_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/CZ_1_Daily","https://asim.esimqr.link/?slug=CZ_1_Daily"
"Czech Republic 1GB 7Days",CZ_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/CZ_1_7","https://asim.esimqr.link/?slug=CZ_1_7"
"Czech Republic 2GB/Day",CZ_2_Daily,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/CZ_2_Daily","https://asim.esimqr.link/?slug=CZ_2_Daily"
